stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
CHPL02,CHPL02,Chapelet,Biarritz - Chapelet,43.46575800,-1.54079700,,,0,place_CHPL,2,CHPL02,Biarritz,CHPL02,Direction ~ Norabidea: Biarritz Gare - Halle Iraty,64122
CHAP01,CHAP01,Chapelle,Anglet - Chapelle,43.49763600,-1.53867300,,,0,place_CHAP,2,CHAP01,Anglet,CHAP01,Direction ~ Norabidea: Bidart Lore Landa,64024
CHAP02,CHAP02,Chapelle,Anglet - Chapelle,43.49791700,-1.53855300,,,0,place_CHAP,2,CHAP02,Anglet,CHAP02,Direction ~ Norabidea: Bayonne Place des Basques,64024
CHPB01,CHPB01,Chapelle St-Bernard,Bayonne - Chapelle St-Bernard,43.50722900,-1.48607200,,,0,place_CHPB,2,CHPB01,Bayonne,CHPB01,Direction ~ Norabidea: Bayonne Gare de Bayonne Parvis,64102
CHPB02,CHPB02,Chapelle St-Bernard,Bayonne - Chapelle St-Bernard,43.50738700,-1.48598400,,,0,place_CHPB,2,CHPB02,Bayonne,CHPB02,Direction ~ Norabidea: Ondres Ondres Plage,64102
CHAU01,CHAU01,Chasseriau,Biarritz - Chasseriau,43.46210300,-1.55586500,,,0,place_CHAU,2,CHAU01,Biarritz,CHAU01,Direction ~ Norabidea: Bidart Lore Landa,64122
CHAU02,CHAU02,Chasseriau,Biarritz - Chasseriau,43.46230200,-1.55645600,,,0,place_CHAU,2,CHAU02,Biarritz,CHAU02,Direction ~ Norabidea: Bayonne Place des Basques,64122
CHSN01,CHSN01,Chassin,Anglet - Chassin,43.48076800,-1.53075000,,,0,place_CHSN,2,CHSN01,Anglet,CHSN01,Direction ~ Norabidea: Biarritz Mairie de Biarritz Louis Barthou,64024
CHSN02,CHSN02,Chassin,Anglet - Chassin,43.48073500,-1.53060400,,,0,place_CHSN,2,CHSN02,Anglet,CHSN02,Direction ~ Norabidea: Bayonne Hauts de Bayonne,64024
SIMM01,SIMM01,Chevigné,Biarritz - Chevigné,43.46890600,-1.55709200,,,0,place_SIMM,2,SIMM01,Biarritz,SIMM01,Direction ~ Norabidea: Bayonne Gare de Bayonne Parvis / Biarritz Gare - Halle Iraty,64122
CHIB01,CHIB01,Chiberta,Anglet - Chiberta,43.52544600,-1.51748500,,,0,place_CHIB,2,CHIB01,Anglet,CHIB01,Direction ~ Norabidea: Bidart Lore Landa,64024
CHIB02,CHIB02,Chiberta,Anglet - Chiberta,43.52540300,-1.51734100,,,0,place_CHIB,2,CHIB02,Anglet,CHIB02,Direction ~ Norabidea: Bayonne Place des Basques,64024
CHIC01,CHIC01,Chic à Chic,Boucau - Chic à Chic,43.53718900,-1.47742200,,,0,place_CHIC,2,CHIC01,Boucau,CHIC01,Direction ~ Norabidea: Anglet Quintaou/Endarra,64140
CHIC02,CHIC02,Chic à Chic,Boucau - Chic à Chic,43.53716600,-1.47730100,,,0,place_CHIC,2,CHIC02,Boucau,CHIC02,Direction ~ Norabidea: Tarnos Square Mora,64140
CHIR01,CHIR01,Chiripa,Bidart - Chiripa,43.43537200,-1.59118400,,,0,place_CHIR,2,CHIR01,Bidart,CHIR01,Direction ~ Norabidea: Bidart Mairie de Bidart,64125
CHIR02,CHIR02,Chiripa,Bidart - Chiripa,43.43540500,-1.59121700,,,0,place_CHIR,2,CHIR02,Bidart,CHIR02,Direction ~ Norabidea: Bayonne Marrac,64125
