stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,city_name,direction_id,ext_oldid,ext_zenbus_id
URAR01,,Ardanavy,Ardanavy - Urcuit,43.48472199,-1.32200363,,,0,place_URAR,0,Urcuit,0,19173676,URAR01
URAR02,,Ardanavy,Ardanavy - Urcuit,43.48477522,-1.32161608,,,0,place_URAR,0,Urcuit,1,19173673,URAR02
ARCE01,,Aroue Centre,Aroue Centre - Aroue-Ithorots-Olhaïby,43.31806000,-0.91921100,,,0,place_ARCE,0,Aroue-Ithorots-Olhaïby,0,17795_1,ARCE01
ARCE02,,Aroue Centre,Aroue Centre - Aroue-Ithorots-Olhaïby,43.31764000,-0.91865600,,,0,place_ARCE,0,Aroue-Ithorots-Olhaïby,1,17795_2,ARCE02
MAAR01,,Arrabotu handia,Arrabotu handia - Mauléon-Licharre,43.22098520,-0.89262230,,,0,place_MAAR,0,Mauléon-Licharre,0,10154,MAAR01
MAAR02,,Arrabotu handia,Arrabotu handia - Mauléon-Licharre,43.22134490,-0.89300850,,,0,place_MAAR,0,Mauléon-Licharre,1,10155,MAAR02
USAR01,,Arrauntz,Arrauntz - Ustaritz,43.42038000,-1.48116200,,,0,place_USAR,0,Ustaritz,,17885_1,USAR01
CAAR01,,Artekoa,Artekoa - Cambo-les-Bains,43.36832800,-1.41057900,,,0,place_CAAR,0,Cambo-les-Bains,,557600002,CAAR01
SPIN01,,Artzirin,Saint-Pée-sur-Nivelle - Artzirin,43.35621400,-1.56113800,,,0,place_SPIN,0,Saint-Pée-sur-Nivelle,0,,SPIN01
SPIN02,,Artzirin,Saint-Pée-sur-Nivelle - Artzirin,43.35629200,-1.56123800,,,0,place_SPIN,0,Saint-Pée-sur-Nivelle,1,,SPIN02
CAAV01,,Avenue d'Espagne,Avenue d'Espagne - Cambo-les-Bains,43.35946200,-1.40370000,,,0,place_CAAV,0,Cambo-les-Bains,0,789240001,CAAV01
CAAV02,,Avenue d'Espagne,Avenue d'Espagne - Cambo-les-Bains,43.35935900,-1.40365000,,,0,place_CAAV,0,Cambo-les-Bains,1,795060010,CAAV02
CAAE01,,Avenue de Navarre,Avenue de Navarre - Cambo-les-Bains,43.35871710,-1.39869364,,,0,place_CAAE,0,Cambo-les-Bains,0,30013_1,CAAE01
CAAE02,,Avenue de Navarre,Avenue de Navarre - Cambo-les-Bains,43.35927551,-1.39891682,,,0,place_CAAE,0,Cambo-les-Bains,1,30013_2,CAAE02
BABA01,,Bascule,Bascule - Bardos,43.47864100,-1.18821500,,,0,place_BABA,0,Bardos,0,27655_1,BABA01
BABA02,,Bascule,Bascule - Bardos,43.47878000,-1.18712500,,,0,place_BABA,0,Bardos,1,27655_2,BABA02
USBA01,,Bazter Karrika,Bazter Karrika - Ustaritz,43.39304900,-1.45685800,,,0,place_USBA,0,Ustaritz,,27542_1,USBA01
USBA02,,Bazter Karrika,Bazter Karrika - Ustaritz,43.39272800,-1.45663700,,,0,place_USBA,0,Ustaritz,1,27542_2,USBA02
CABE01,,Behereko plaza,Behereko plaza - Cambo-les-Bains,43.37034200,-1.39924800,,,0,place_CABE,0,Cambo-les-Bains,,559570001,CABE01
DOBE01,,Berraute,Berraute - Domezain-Berraute,43.32626300,-0.98837200,,,0,place_DOBE,0,Domezain-Berraute,0,27710_1,DOBE01
DOBE02,,Berraute,Berraute - Domezain-Berraute,43.32609500,-0.98798600,,,0,place_DOBE,0,Domezain-Berraute,1,27710_2,DOBE02
SPBIL1,,Bilanoa,Saint-Pée-sur-Nivelle - Bilanoa,43.35617429,-1.56648627,,,0,place_SPBIL,0,Saint-Pée-sur-Nivelle,0,,SPBIL1
SPBIL2,,Bilanoa,Saint-Pée-sur-Nivelle - Bilanoa,43.35626400,-1.56557700,,,0,place_SPBIL,0,Saint-Pée-sur-Nivelle,1,,SPBIL2
CABO01,,Bon Air,Bon Air - Cambo-les-Bains,43.35923700,-1.39777800,,,0,place_CABO,0,Cambo-les-Bains,0,791180035,CABO01
CABO02,,Bon Air,Bon Air - Cambo-les-Bains,43.35916900,-1.39788700,,,0,place_CABO,0,Cambo-les-Bains,1,781240028,CABO02
AIBO01,,Bourg,Bourg - Ainhice-Mongelos,43.19949400,-1.15264100,,,0,place_AIBO,0,Ainhice-Mongelos,,17698_1,AIBO01
ARBO01,,Bourg,Bourg - Larceveau-Arros-Cibits,43.23292300,-1.09659400,,,0,place_ARBO,0,Larceveau-Arros-Cibits,0,15820_1,ARBO01
ARBO02,,Bourg,Bourg - Larceveau-Arros-Cibits,43.23353200,-1.09624600,,,0,place_ARBO,0,Larceveau-Arros-Cibits,1,15820_2,ARBO02
