shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
N30042,43.35343552,-1.78076398,20029,2.817000
N30042,43.35335159,-1.78087401,20030,2.830000
N30042,43.35319138,-1.78108394,20031,2.855000
N30042,43.35255051,-1.78190398,30002,2.952000
N30042,43.35247421,-1.78202200,30003,2.965000
N30042,43.35237885,-1.78214800,30004,2.980000
N30042,43.35206985,-1.78252804,30005,3.026000
N30042,43.35197830,-1.78265703,30006,3.041000
N30042,43.35190201,-1.78275001,30007,3.052000
N30042,43.35183716,-1.78281999,30008,3.061000
N30042,43.35179138,-1.78285897,30009,3.067000
N30042,43.35175323,-1.78288805,30010,3.072000
N30042,43.35173035,-1.78295100,30011,3.078000
N30042,43.35169220,-1.78301406,30012,3.084000
N30042,43.35140610,-1.78343999,30013,3.131000
N30042,43.35129929,-1.78344095,30014,3.143000
N30042,43.35121536,-1.78332102,30015,3.157000
N30042,43.35106659,-1.78318501,30016,3.177000
N30042,43.35094452,-1.78307700,30017,3.193000
N30042,43.35083389,-1.78289604,30018,3.212000
N30042,43.35070801,-1.78271699,30019,3.232000
N30042,43.35052872,-1.78253400,30020,3.257000
N30042,43.35042572,-1.78236902,30021,3.275000
N30042,43.35028076,-1.78210700,30022,3.301000
N30042,43.35023117,-1.78201306,30023,3.311000
N30042,43.35019684,-1.78193104,30024,3.318000
N30042,43.35017395,-1.78186798,30025,3.324000
N30042,43.35016251,-1.78178596,30026,3.331000
N30042,43.35013962,-1.78170300,30027,3.338000
N30042,43.35012054,-1.78156805,30028,3.349000
N30042,43.35010910,-1.78155303,30029,3.351000
N30042,43.35009384,-1.78153706,30030,3.353000
N30042,43.35008240,-1.78151906,30031,3.355000
N30042,43.35008240,-1.78149402,30032,3.357000
N30042,43.35008240,-1.78146601,30033,3.359000
N30042,43.35008621,-1.78144395,30034,3.361000
N30042,43.35009766,-1.78141403,30035,3.363000
N30042,43.35010910,-1.78139198,30036,3.366000
N30042,43.35007858,-1.78134096,30037,3.371000
N30042,43.35004425,-1.78128600,30038,3.377000
N30042,43.35001755,-1.78122699,30039,3.382000
N30042,43.34996033,-1.78101397,30040,3.401000
N30042,43.34994507,-1.78094101,30041,3.407000
N30042,43.34994125,-1.78073895,30042,3.423000
N30042,43.34991837,-1.78044796,30043,3.447000
N30042,43.34991837,-1.77978897,30044,3.501000
N30042,43.34988785,-1.77949703,30045,3.524000
N30042,43.34984970,-1.77930200,30046,3.541000
N30042,43.34981537,-1.77903700,30047,3.563000
N30042,43.34961319,-1.77792203,30048,3.656000
N30042,43.34960175,-1.77756405,30049,3.685000
N30042,43.34959412,-1.77740300,40002,3.698000
N30042,43.34959412,-1.77730298,40003,3.706000
N30042,43.34959030,-1.77683794,40004,3.744000
N30042,43.34965897,-1.77557003,40005,3.847000
N30042,43.34966660,-1.77543998,40006,3.858000
N30042,43.34966660,-1.77511096,40007,3.884000
N30042,43.34966660,-1.77492094,40008,3.900000
N30042,43.34965515,-1.77471006,40009,3.917000
N30042,43.34965515,-1.77450001,40010,3.934000
N30042,43.34964752,-1.77436495,40011,3.945000
N30042,43.34963989,-1.77414799,40012,3.962000
N30042,43.34963989,-1.77405000,40013,3.970000
N30042,43.34964371,-1.77395797,40014,3.978000
N30042,43.34970856,-1.77358699,40015,4.009000
N30042,43.34984589,-1.77297699,40016,4.061000
N30042,43.34987259,-1.77286398,40017,4.070000
N30042,43.34988785,-1.77272999,40018,4.081000
N30042,43.34989548,-1.77264297,40019,4.088000
N30042,43.34988785,-1.77243495,40020,4.105000
N30042,43.34987640,-1.77235603,40021,4.112000
N30042,43.34986115,-1.77231002,40022,4.116000
N30042,43.34984970,-1.77224696,40023,4.121000
N30042,43.34977722,-1.77215898,40024,4.131000
N30042,43.34967041,-1.77193499,40025,4.153000
N30042,43.34963226,-1.77185905,40026,4.161000
N30042,43.34957504,-1.77172804,40027,4.173000
N30042,43.34951401,-1.77162194,40028,4.184000
N30042,43.34943008,-1.77139997,40029,4.204000
N30042,43.34940720,-1.77134597,40030,4.209000
N30042,43.34934235,-1.77118194,50002,4.224000
N30042,43.34928513,-1.77099395,50003,4.241000
N30042,43.34921265,-1.77076602,50004,4.261000
N30042,43.34919357,-1.77067804,50005,4.269000
N30042,43.34912491,-1.77030301,50006,4.300000
N30042,43.34909058,-1.77026999,50007,4.305000
N30042,43.34908295,-1.77024996,50008,4.306000
N30042,43.34906769,-1.77019894,50009,4.311000
N30042,43.34906769,-1.77015197,50010,4.315000
N30042,43.34909439,-1.77007794,50011,4.321000
N30042,43.34911728,-1.77004504,50012,4.325000
N30042,43.34915924,-1.77002895,50013,4.330000
N30042,43.34918213,-1.77003598,50014,4.333000
N30042,43.34920120,-1.76996195,50015,4.339000
N30042,43.34921646,-1.76990795,50016,4.343000
N30042,43.34922409,-1.76978397,50017,4.354000
N30042,43.34923172,-1.76966798,50018,4.363000
N30042,43.34923172,-1.76951504,50019,4.375000
N30042,43.34922791,-1.76943302,50020,4.382000
N30042,43.34922791,-1.76930904,50021,4.392000
N30042,43.34921646,-1.76921105,50022,4.400000
N30042,43.34919739,-1.76909494,50023,4.410000
N30042,43.34918594,-1.76902401,50024,4.416000
N30042,43.34914017,-1.76902103,50025,4.421000
N30042,43.34909821,-1.76899302,50026,4.426000
N30042,43.34907532,-1.76894903,50027,4.430000
N30042,43.34906387,-1.76889300,50028,4.435000
N30042,43.34906006,-1.76884997,50029,4.438000
N30042,43.34906769,-1.76881194,50030,4.441000
N30042,43.34909058,-1.76877296,50031,4.446000
